
="",="(1)",="(2)"
="",="hablo_con_abogado",="conflicto_arreglado"

="1.main_treatment",="0",="0"
="",="(.)",="(.)"

="2.main_treatment",="-0.0070",="-0.018"
="",="(0.028)",="(0.029)"

="3.main_treatment",="-0.20***",="0.083**"
="",="(0.032)",="(0.035)"

="mujer",="0.011",="-0.013"
="",="(0.022)",="(0.022)"

="antiguedad",="-0.00047",="-0.00046"
="",="(0.0027)",="(0.0021)"

="salario_diario",="0.0000029",="0.0000019"
="",="(0.000027)",="(0.000019)"

="_cons",="0.60***",="0.34***"
="",="(0.026)",="(0.025)"

="N",="1814",="1813"
="R-squared",="0.027",="0.0072"
="BVC",="YES",="YES"
="Source",="2w",="2w"
="Obs per group",="722/669/423",="722/668/423"
="Days per group",="81/91/61",="81/91/61"
="T2=T3",="3.7e-09",="0.0040"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"

="",="(1)",="(2)"
="",="conflicto_arreglado",="entablo_demanda"

="1.main_treatment",="0",="0"
="",="(.)",="(.)"

="2.main_treatment",="0.052*",="-0.060**"
="",="(0.028)",="(0.027)"

="3.main_treatment",="0.16***",="-0.12***"
="",="(0.033)",="(0.031)"

="mujer",="-0.044*",="0.057***"
="",="(0.022)",="(0.022)"

="antiguedad",="0.0046*",="-0.0012"
="",="(0.0026)",="(0.0022)"

="salario_diario",="0.000044**",="-0.0000056"
="",="(0.000018)",="(0.000025)"

="_cons",="0.50***",="0.38***"
="",="(0.025)",="(0.025)"

="N",="2057",="1992"
="R-squared",="0.022",="0.014"
="BVC",="YES",="YES"
="Source",="2m",="2m"
="Obs per group",="788/744/525",="765/725/502"
="Days per group",="93/106/75",="93/106/75"
="T2=T3",="0.00050",="0.030"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
