Laura Nuevos Expedientes,24,1,9,El rubro y proemio contiene todos los elementos necesarios de identifiacion; presenta actividad de la empresa y el juicio del que se trata.,6,"Se mencionan de forma escueta las prestaciones, no señalan cálculos, montos o periodos del caso",8,"Se mencionan los datos básicos como salario, puesto y horario, pero no se especifican detalles del contrato, lugar donde laboran o más detalles narrativos.",6,Se especifican diversos artículos y fracciones pertinentes para este asunto. No señala cuales artículos son de fondo o forma,8,"se especifica el admitir el escrito y la representación del abogado, se señalas los puntos petitorios importantes",7,40,10,22000, ,2021-01-22T21:51:52.952Z,2021-02-07T21:25:55.554Z,2021-02-07T21:25:55.761Z,2021-02-07T21:31:44.218Z
Laura Nuevos Expedientes,24,2,7,"No señala que tipo de juicio es,  sí indica los nombres correctamente y domicilios",7,"Las prestaciones están enumeradas algunas con fechas, pero no dan detalle alguno; son escuetas .",6,No señala si el salario que indica es integrado o base; no da detalles de los hechos ni del contrato,0,"No existe ninguna referencia sobre el cap√≠tulo de derechos, no se menciona ni art√≠culos ni regulaci√≥n correspondiente",7,No señalo admitir la representación del abogado. Sí pide el que se indique la fecha de la siguiente audiencia,5,40,10,12000, ,2021-02-07T21:31:57.111Z,2021-02-07T21:39:59.308Z,2021-02-07T21:39:59.505Z,2021-02-07T21:41:29.662Z
Laura Nuevos Expedientes,24,3,7,"No es especifica tipo de juicio. Se señala correctamente nombres, domicilio y actividad de la empresa",8,"Se estipulas las prestaciones, especificando algunos de los montos y fechas de las mismas .",8,"Se describe el salario y sus componentes, la actividad que realizaba; faltan detalles sobre el contrato laboral",8,"Se especifican los artículos de fondo y forma de manera separada, aunque éstos no son exhaustivos. ",8,se pide reconocimiento de la personalidad y señalar fecha y hora de audiencia siguiente . ,8,50,5,45000, ,2021-02-07T21:41:34.972Z,2021-02-07T22:04:01.266Z,2021-02-07T22:04:01.565Z,2021-02-07T22:05:12.250Z
Laura Nuevos Expedientes,24,4,7,"Se especifica rubro adecuadamente, tipo de juicio y actividad de la empresa, pero nombres de los demandados incompletos",7,"se señalan y enumeran todas las prestaciones pertinentes, pero no se presentan cantidades ni fechas para cada una",8,"se señalan adecuadamente fechas y  montos; es breve y sucinta, pero no se describen detalladamente los hechos",8,"se señalan los artículos relevantes de forma y fondo, pero se omite especificar artículos de ley de trabajo ",9,"se presentan todos los puntos petitorios relevantes como admitir la representación, tener por presentado el escrito de demanda, etc.",8,30,10,6000, ,2021-02-07T22:05:20.798Z,2021-02-07T22:09:57.542Z,2021-02-07T22:09:57.753Z,2021-02-07T22:11:18.743Z
Laura Nuevos Expedientes,24,5,7,"Señala domicilios y nombre adecuadamente, así como actividad de la empresa. No señala tipo de juicio",7,Enumera las prestaciones y las describe pero no presenta montos y fechas de las mismas,7,no señala cuestiones especificas del contrato ni más detalles del salario; narra aspectos básicos de los hechos,7,"Especifica los numerales de los artículos relevantes en el caso, pero no separa artículos de forma y fondo",8,"especifica la admisión de la demanda y personalidad, así como señalar hora y fecha de audiencia",7,30,15,5000, ,2021-02-07T22:29:24.458Z,2021-02-07T22:36:40.998Z,2021-02-07T22:36:41.226Z,2021-02-07T22:37:16.618Z
Laura Nuevos Expedientes,24,6,8,"señala giro de la empresa, pero no señala el tipo de juicio. indica adecuadamente el resto de los elementos",7,"las prestaciones son necesariamente largas, pero correctas. no señala cantidades ni montos de cada una ",8,"señala adecuadamente los hechos, el lugar en que trabajaba; faltan mayores detalles sobre su contrato",7,los artículos pertinentes son correctamente señalados pero no son exhaustivos; se indican los de forma y fondo,8,"señala la admisión de representación y del escrito de la demanda, así como demás relevantes",8,40,5,35000, ,2021-02-07T22:37:21.884Z,2021-02-07T22:45:27.361Z,2021-02-07T22:45:27.573Z,2021-02-07T22:45:47.525Z
Laura Nuevos Expedientes,24,7,7,la demanda contiene datos de identificación adecuad y establece actividad de empresa; no estipula tipo de demanda,7,"las prestaciones son innecesariamente más largas, pero establece montos exactos y algunas fechas de las prestaciones",8,narra con detalle los hechos y detalla cómo se conforma el salario; faltan detalles de contrato,6,faltan enumerar diversos artículos y no especifica algunos otros artículos de la constitución mexicana .,5,no especifica ninguno de los puntos petitorios; solo hay firma hasta el final de la demanda,6,40,10,15000, ,2021-02-07T22:45:51.150Z,2021-02-07T23:18:32.776Z,2021-02-07T23:18:32.978Z,2021-02-07T23:18:57.779Z
Laura Nuevos Expedientes,24,8,8,la parte de rubro y proemio son escritas adecuadamente; no se establece el tipo de juicio,8,"las prestaciones son adecuadas, aunque en ocasiones con demasiados detalles que no son necesarios para la demanda",7,se detalla cada componente del salario y los hechos; faltan mas especificaciones sobre el contrato,7,se enumeran de manera escueta los artículos de la ley federal de trabajo; es necesario mayor detalles,5,no cuenta con los puntos petitorios y únicamente s puede observar la firma al final,6,40,10,150000, ,2021-02-07T23:19:02.099Z,2021-02-07T23:41:07.765Z,2021-02-07T23:41:07.972Z,2021-02-07T23:41:28.010Z
Laura Nuevos Expedientes,24,9,8,"se establecen adecuadamente todos los elementos, pero no se señala el tipo de juicio laboral",7,"se señalan las prestaciones pero no se establecen montos o fechas de las mismas, falta mayor detalle",8,se establecen adecuadamente los hechos básicos; sin embargo es necesario mayor detalle descriptivo del caso.,6,"la parte de derecho es escueta, se enumeran algunos artículos de la ley de trabajo y ninguno de la constitución",7,"no se establece que se admita la representación de la persona, se detallan los demás elementos de forma correcta",7,50,5,20000,Miguel Carbajal Miranda,2021-02-07T23:22:30.877Z,2021-02-07T23:25:27.043Z,2021-02-07T23:25:27.243Z,2021-02-07T23:25:53.227Z
Laura Nuevos Expedientes,24,10,6,"no se establece el tipo de juicio, no se especifica el apellido de una de las personas demandadas",8,se especifican las prestaciones sy los periodos de algunas de ellas; a veces es innecesariamente larga la descripción,8,"los hechos son correctamente redactados, aunque inserta tesis innecesarias; señala las tarjetas de control de asistencia como prueba",6,los artículos de derecho son establecidos de manera escueta y poco exhaustiva; no se mencionan varios relevantes,7,"establece la admisión de personalidad, así como tener por admitida la demanda y fecha para dictar el laudo correspondiente ",8,50,5,120000, ,2021-02-07T23:25:58.406Z,2021-02-07T23:32:00.319Z,2021-02-07T23:32:00.536Z,2021-02-07T23:32:17.226Z
